frc,hour,minute,rel_ratio
1,7,0,1.139649006071696
1,7,5,1.1258099513282702
1,7,10,1.121509740527795
1,7,15,1.1320318775141884
1,7,20,1.1476385607034967
1,7,25,1.144085971373957
1,7,30,1.1509576167465374
1,7,35,1.1521834433783886
1,7,40,1.156633939589034
1,7,45,1.1476856504652737
1,7,50,1.1619841996177762
1,7,55,1.1715003625693519
1,8,0,1.1542321343150275
1,8,5,1.159888994906667
1,8,10,1.1112033725089423
1,8,15,1.053837620584199
1,8,20,1.0459024686361797
1,8,25,1.059945276507318
1,8,30,1.0937266704384534
1,8,35,1.1567105161314204
1,8,40,1.1862691383338095
1,8,45,1.0848434207170568
1,8,50,1.0593418739010299
1,8,55,1.064711560529762
2,7,0,1.2109117769173579
2,7,5,1.207832363888307
2,7,10,1.2042290321076503
2,7,15,1.2317942540041589
2,7,20,1.2541424712653788
2,7,25,1.2569623535738093
2,7,30,1.3086038443417551
2,7,35,1.3400760444175763
2,7,40,1.3636991170992632
2,7,45,1.3571917052899483
2,7,50,1.392103463106591
2,7,55,1.419791406613991
2,8,0,1.3758471130387637
2,8,5,1.3728689964888836
2,8,10,1.3513085095277482
2,8,15,1.3752422601003829
2,8,20,1.3552044366212932
2,8,25,1.3864267741276248
2,8,30,1.3630999489405158
2,8,35,1.3572991830115064
2,8,40,1.3213386173491855
2,8,45,1.2974963556561012
2,8,50,1.3038171829420973
2,8,55,1.3445808307532308
3,7,0,1.1630304526091435
3,7,5,1.1651617515852997
3,7,10,1.1856808277972333
3,7,15,1.1854893713158443
3,7,20,1.199438310013655
3,7,25,1.224396812903754
3,7,30,1.2414984057641603
3,7,35,1.240863065779211
3,7,40,1.2582336597075932
3,7,45,1.2849190304729767
3,7,50,1.2845115352706369
3,7,55,1.2864761380724767
3,8,0,1.2777924317353997
3,8,5,1.2899146045013818
3,8,10,1.2861999756655402
3,8,15,1.2815347623129063
3,8,20,1.2753434916270172
3,8,25,1.2583928481880842
3,8,30,1.263495276638715
3,8,35,1.255014954582255
3,8,40,1.26562588166307
3,8,45,1.2583932691464985
3,8,50,1.2528720112448117
3,8,55,1.2418975138449813
4,7,0,1.0950149460188454
4,7,5,1.1011450717013251
4,7,10,1.1069050218136032
4,7,15,1.1113888141906558
4,7,20,1.1213987972789787
4,7,25,1.1278178522586666
4,7,30,1.1436595817671256
4,7,35,1.148970882921874
4,7,40,1.153490978076074
4,7,45,1.1650256398824566
4,7,50,1.1705672426118445
4,7,55,1.1734903746968826
4,8,0,1.166511219496212
4,8,5,1.1637544617897708
4,8,10,1.1576174632618041
4,8,15,1.1592993055082614
4,8,20,1.156414865656597
4,8,25,1.1525899259789136
4,8,30,1.1474023405314902
4,8,35,1.1472942919810047
4,8,40,1.1509780397512397
4,8,45,1.1461600079449756
4,8,50,1.1414878012748413
4,8,55,1.1406447711022947
5,7,0,1.0980425835666245
5,7,5,1.1012297900811763
5,7,10,1.1047066521070177
5,7,15,1.1071972277782278
5,7,20,1.1097817667049736
5,7,25,1.1134472749572473
5,7,30,1.110845163346585
5,7,35,1.1103064693229514
5,7,40,1.113854399731207
5,7,45,1.1149860296557361
5,7,50,1.1239749059194521
5,7,55,1.1272958157637218
5,8,0,1.1291325461162323
5,8,5,1.132507103968724
5,8,10,1.1321731988899464
5,8,15,1.1384434689687615
5,8,20,1.1440226845963484
5,8,25,1.14350811046928
5,8,30,1.1512147813029023
5,8,35,1.1545479994793422
5,8,40,1.1515499857147264
5,8,45,1.1548624756618848
5,8,50,1.151095460926324
5,8,55,1.1427802849557593
